url,name,ingredients
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,2 tablespoons vegetable oil 
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,"4 cloves garlic, minced "
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,"½ cup onion, chopped "
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,1 tablespoon minced fresh ginger root 
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,⅛ teaspoon garam masala 
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,2 teaspoons channa masala spice mix 
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,"1 large tomato, chopped "
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,1 ½ cups water 
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,"2 (15.5 ounce) cans garbanzo beans, drained and rinsed "
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,  salt to taste 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 tablespoons smoked paprika 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 tablespoons chili powder 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 tablespoons curry powder 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 tablespoons ground cumin 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,"2 tablespoons garlic powder, or more to taste "
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 teaspoons ground turmeric 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 teaspoons ground cardamom 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 teaspoons ground coriander 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,2 teaspoons onion powder 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,1 teaspoon dry mustard 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,1 teaspoon fennel seeds 
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,"1 teaspoon garam masala, or more to taste "
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,¼ teaspoon rubbed sage 
